                time         counts      date  exposure  concentration  cell
0    [0.0, 0.008...]   [93, 134...]  18-01-21         0              0     1
1    [0.0, 0.008...]   [78, 180...]  18-01-21         0              0     2
2    [0.0, 0.008...]  [104, 180...]  18-01-21         0              0     3
3    [0.0, 0.008...]   [80, 133...]  18-01-21         0              0     4
4    [0.0, 0.008...]  [112, 190...]  18-01-21         0              0     5
..               ...            ...       ...       ...            ...   ...
694  [0.0, 0.008...]   [89, 185...]  05-03-21        96            700     6
695  [0.0, 0.008...]  [120, 213...]  05-03-21        96            700     7
696  [0.0, 0.008...]  [127, 235...]  05-03-21        96            700     8
697  [0.0, 0.008...]  [128, 246...]  05-03-21        96            700     9
698  [0.0, 0.008...]  [117, 196...]  05-03-21        96            700    10
